year,value
2019,72027985.13298
2018,127924479.425528
2017,60977110.682087
2016,79181168.234649
2020,65070620.454729
2021,48652881.340314
2022,13231266.685071
2014,95265529.526635
2013,121218326.628952
2012,123038907.503398
2011,65694464.803024
2015,85649518.34666
2023,0
2002,32089396.358314
2001,51078807.842506
2000,35566642.577837
2008,69211456.053374
2007,51753355.530851
2006,56174110.371152
2005,60651038.889735
2009,60976676.973828
2004,33161058.399084
2003,29711089.365012
1999,51172583.905081
1998,35944384.869808
2010,40070708.533473
