sector.code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
14010,11776793.7989,17400083.148692,12354890.181758,22814199.005606,16495764.736104,14228840.321333,14197257.555109,20506274.690842,22988178.970045,20066944.876047,30060834.618302,24177103.587408,18188550.998289,24823299.790403,26792558.613645,25465390.744928,29251346.375296,29582883.750711,25100977.61934,19540745.290737,27607768.457138,15312890.545883,12707304.611979,7985823.43735,2404952.591363,0
14015,1322600.697105,1922705.542037,1691294.1292,1818098.255046,390752.494598,893186.888,770754.968688,200738.718484,94140.072964,1221431.89049,5048815.815078,3461883.991504,3542597.123098,2528075.109409,1200612.507198,4227629.582995,7103605.008814,5812163.643477,3615129.550632,3702769.743768,2320191.24551,2435986.836046,2524234.787811,2784681.947896,805486.513854,
14020,8997115.6774,11600085.085245,8547210.444708,5575120.328072,7787358.707935,4975122.98683,8341939.150551,2801518.387663,4754891.975093,4628417.610061,1073719.777833,52783.732082,7713887.562133,14440785.458914,19152347.353332,21880647.454395,20086437.994718,27602169.812422,13440074.796938,0,1666725.467177,3542522.898828,2103470.496176,1093160.268801,57534.750989,
14021,,,,,,,,,,,,,,,,,,,1168702.156255,2574002.574002,3314001.657,2134624.183005,2277225.444167,1142640.154653,,
14022,,,,,,,,28103420.587762,0,2572599.778024,757109.750437,,,,3693362.289293,3838359.024749,0,0,,26161.226161,111389.579305,0,0,,,
14030,9000090.599078,15725656.657336,7438451.520635,11797446.316638,5364998.456931,5930570.183576,6784620.201467,6439455.596586,21337633.624012,17311469.922298,28086160.4563,32359154.372253,7728814.251197,16319886.11847,64637031.275385,61027568.169248,38098358.868199,20645425.124251,32059728.159872,24932130.338124,73577653.96298,29914762.266399,32060664.641438,27101744.453647,8115276.627081,
14031,,,,,,,,,,,,,,,,,,1186338.130093,1168702.156255,2658680.94068,6548174.307279,3348522.507592,2094264.93602,828500.41425,451072.447758,
14032,,,,,,,,,,,,,,,,,,,,,6904170.118751,5120592.838073,2646598.545521,1841112.031666,,
14040,,,,,,,,,,,,,,,4432034.747152,2456549.775838,0,0,0,,,,,,,
14050,4847784.097325,4524053.471771,5534796.301536,9073943.937144,2050521.962746,3683368.985273,2545725.701053,1722963.840257,3674626.964852,3278129.041799,2885685.135554,270632.189929,1647240.426531,6155431.948464,1535428.208419,702986.396853,237435.968453,227368.82066,1914754.163499,3076257.751255,2942682.960505,5747409.210158,5546528.353122,4954662.616218,821596.244131,
14081,0,0,0,0,,,520760.822216,876667.068141,3324638.764186,2674362.412132,1299130.49987,655119.100652,1249618.172225,1426986.377364,1595532.508974,1619195.479946,488345.311155,593169.065046,713099.631858,4466362.81736,2931721.669883,4470673.846996,3110328.638495,920556.015833,575347.509895,
